10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
10:43:42 HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/stabilityai/sd-vae-ft-mse/31f26fdeee1355a5c34592e401dd41e45d25a493/config.json "HTTP/1.1 200 OK"
10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/31f26fdeee1355a5c34592e401dd41e45d25a493/diffusion_pytorch_model.safetensors.index.json "HTTP/1.1 404 Not Found"
10:43:42 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
14:06:36 [ep33 iter3600] loss=0.6215 latent=1.5678 same=0.5936 diff=0.0000 dist=4.3826 sil=0.0063 smo=0.7209 sync=0.0160 pos=0.5378 neg=0.2279 gan=0.3454 disc=0.1926 fm=0.1929 our=0.3725 d_pos=0.6761 d_neg=0.6622 delta_A=4.1052 dn=4.1052 grad_gen=1.1165 grad_our=0.0694
14:12:58 [ep33 iter3700] loss=0.6130 latent=1.5899 same=0.3903 diff=0.0000 dist=5.4847 sil=0.0062 smo=0.5879 sync=0.0002 pos=0.6521 neg=0.0525 gan=0.3060 disc=0.1971 fm=0.1882 our=0.2979 d_pos=0.6928 d_neg=0.7857 delta_A=4.9059 dn=4.9059 grad_gen=1.7791 grad_our=0.0889
14:19:46 [ep33 iter3800] loss=0.6085 latent=1.4629 same=0.5051 diff=0.0000 dist=4.7715 sil=0.0076 smo=0.6128 sync=0.0000 pos=0.8970 neg=0.1658 gan=0.3292 disc=0.1974 fm=0.2203 our=0.3594 d_pos=0.7020 d_neg=0.6994 delta_A=4.7140 dn=4.7140 grad_gen=4.6595 grad_our=0.0860
14:26:46 [ep33 iter3900] loss=0.6292 latent=1.6180 same=0.6116 diff=0.0000 dist=3.7619 sil=0.0067 smo=0.4844 sync=0.0000 pos=0.8119 neg=0.0767 gan=0.3064 disc=0.2018 fm=0.2006 our=0.3026 d_pos=0.6836 d_neg=0.7760 delta_A=4.0808 dn=4.0808 grad_gen=1.3565 grad_our=0.1294
14:31:01 [epoch 33] total=0.6178 latent=1.5411 same=0.5008 diff=0.0003 silence=0.0065 delta_reg=4.3543 smooth=0.6208 sync=0.0310 adv=0.3228 d_loss=0.1987 our=0.3407 dn=4.3545
14:33:21 [ep34 iter4000] loss=0.6421 latent=1.6742 same=0.5792 diff=0.0000 dist=3.1553 sil=0.0067 smo=0.5929 sync=0.0000 pos=0.8415 neg=0.0458 gan=0.3047 disc=0.1983 fm=0.2054 our=0.3585 d_pos=0.6691 d_neg=0.6720 delta_A=3.7891 dn=3.7891 grad_gen=2.6964 grad_our=0.0632
14:39:55 [ep34 iter4100] loss=0.5761 latent=1.3781 same=0.3815 diff=0.0000 dist=4.7430 sil=0.0059 smo=0.5729 sync=0.0375 pos=0.7304 neg=0.4928 gan=0.3251 disc=0.1975 fm=0.1850 our=0.3480 d_pos=0.6858 d_neg=0.7045 delta_A=4.2368 dn=4.2368 grad_gen=0.6601 grad_our=0.1705
14:46:38 [ep34 iter4200] loss=0.5783 latent=1.4655 same=0.4269 diff=0.0000 dist=5.3248 sil=0.0067 smo=0.5523 sync=0.0000 pos=0.8764 neg=0.0823 gan=0.3132 disc=0.1972 fm=0.1782 our=0.2919 d_pos=0.6807 d_neg=0.7869 delta_A=4.9263 dn=4.9263 grad_gen=0.6675 grad_our=0.1238
14:53:42 [ep34 iter4300] loss=0.5705 latent=1.3528 same=0.4201 diff=0.0000 dist=4.3191 sil=0.0064 smo=0.5151 sync=0.0010 pos=0.6760 neg=0.1184 gan=0.3432 disc=0.1951 fm=0.2066 our=0.3704 d_pos=0.7384 d_neg=0.7252 delta_A=3.9602 dn=3.9602 grad_gen=0.7188 grad_our=0.1269
15:01:27 [ep34 iter4400] loss=0.6460 latent=1.5985 same=0.4193 diff=0.0000 dist=4.5562 sil=0.0057 smo=0.6309 sync=0.0000 pos=0.9256 neg=0.0631 gan=0.3622 disc=0.1807 fm=0.2451 our=0.3339 d_pos=0.6349 d_neg=0.6746 delta_A=4.2970 dn=4.2970 grad_gen=0.6939 grad_our=0.1341
15:09:11 [ep34 iter4500] loss=0.5854 latent=1.4784 same=0.4221 diff=0.0000 dist=4.3982 sil=0.0060 smo=0.5574 sync=0.0001 pos=0.7707 neg=0.0568 gan=0.2792 disc=0.1944 fm=0.1890 our=0.3433 d_pos=0.6862 d_neg=0.7070 delta_A=4.4552 dn=4.4552 grad_gen=0.5907 grad_our=0.1206
15:17:06 [ep34 iter4600] loss=0.7957 latent=1.3676 same=0.5142 diff=0.0000 dist=2.4411 sil=0.0055 smo=0.5194 sync=0.6019 pos=0.6631 neg=0.2853 gan=0.4003 disc=0.1957 fm=0.1768 our=0.3421 d_pos=0.6617 d_neg=0.6872 delta_A=3.8211 dn=3.8211 grad_gen=5.5837 grad_our=0.1303
15:25:00 [ep34 iter4700] loss=0.6133 latent=1.4392 same=0.5018 diff=0.0000 dist=2.3873 sil=0.0054 smo=0.5785 sync=0.0002 pos=0.7522 neg=0.1403 gan=0.3306 disc=0.1970 fm=0.2304 our=0.3683 d_pos=0.6045 d_neg=0.6166 delta_A=4.1980 dn=4.1980 grad_gen=2.2685 grad_our=0.1296
15:32:59 [ep34 iter4800] loss=0.5890 latent=1.4143 same=0.4491 diff=0.0000 dist=4.3657 sil=0.0063 smo=0.6899 sync=0.0000 pos=0.8796 neg=0.0568 gan=0.3208 disc=0.1994 fm=0.1834 our=0.4142 d_pos=0.6831 d_neg=0.6200 delta_A=4.7740 dn=4.7740 grad_gen=4.0346 grad_our=0.1689
15:41:13 [ep34 iter4900] loss=0.6924 latent=1.7220 same=0.7482 diff=0.0000 dist=3.6494 sil=0.0068 smo=0.6167 sync=0.0051 pos=0.6363 neg=0.1191 gan=0.3357 disc=0.1871 fm=0.2701 our=0.3071 d_pos=0.5783 d_neg=0.6666 delta_A=4.0829 dn=4.0829 grad_gen=4.3717 grad_our=0.1161
15:50:08 [ep34 iter5000] loss=0.6242 latent=1.5976 same=0.5372 diff=0.0000 dist=3.4472 sil=0.0057 smo=0.5468 sync=0.0007 pos=0.5442 neg=0.0161 gan=0.3516 disc=0.1832 fm=0.2076 our=0.2880 d_pos=0.6125 d_neg=0.7177 delta_A=4.0199 dn=4.0199 grad_gen=1.0736 grad_our=0.1194
15:58:43 [ep34 iter5100] loss=0.5653 latent=1.3719 same=0.4686 diff=0.0000 dist=2.7123 sil=0.0053 smo=0.5611 sync=0.0000 pos=0.8861 neg=0.1397 gan=0.3727 disc=0.1801 fm=0.1613 our=0.4537 d_pos=0.5748 d_neg=0.5228 delta_A=4.1038 dn=4.1038 grad_gen=0.6269 grad_our=0.1416
16:06:43 [ep34 iter5200] loss=0.6586 latent=1.5727 same=0.4144 diff=0.0000 dist=4.9399 sil=0.0072 smo=0.7778 sync=0.0037 pos=0.7303 neg=0.2605 gan=0.3226 disc=0.1845 fm=0.2655 our=0.3287 d_pos=0.6576 d_neg=0.7337 delta_A=5.2980 dn=5.2980 grad_gen=1.7759 grad_our=0.3254
16:13:24 [epoch 34] total=0.6321 latent=1.5380 same=0.5061 diff=0.0004 silence=0.0062 delta_reg=4.3728 smooth=0.6295 sync=0.0292 adv=0.3376 d_loss=0.1903 our=0.3194 dn=4.3736
16:14:42 [ep35 iter5300] loss=0.6013 latent=1.4900 same=0.5359 diff=0.0000 dist=2.6852 sil=0.0056 smo=0.5901 sync=0.0002 pos=0.6280 neg=0.0040 gan=0.4407 disc=0.1841 fm=0.2351 our=0.2249 d_pos=0.5900 d_neg=0.7987 delta_A=3.9807 dn=3.9807 grad_gen=1.2217 grad_our=0.1969
16:22:02 [ep35 iter5400] loss=0.5623 latent=1.3261 same=0.3508 diff=0.0000 dist=5.7224 sil=0.0059 smo=0.5782 sync=0.0001 pos=0.7383 neg=0.0102 gan=0.3894 disc=0.1861 fm=0.2151 our=0.2609 d_pos=0.6818 d_neg=0.9196 delta_A=4.2406 dn=4.2406 grad_gen=1.4515 grad_our=0.1578
16:29:11 [ep35 iter5500] loss=0.7001 latent=1.7121 same=0.5417 diff=0.0000 dist=5.8705 sil=0.0069 smo=0.8021 sync=0.0000 pos=0.8099 neg=0.0228 gan=0.2836 disc=0.1962 fm=0.2766 our=0.3797 d_pos=0.6463 d_neg=0.6324 delta_A=4.6197 dn=4.6197 grad_gen=4.4592 grad_our=0.1935
16:36:25 [ep35 iter5600] loss=0.6740 latent=1.6034 same=0.5207 diff=0.0000 dist=5.7987 sil=0.0063 smo=0.8037 sync=0.0003 pos=0.8259 neg=0.2524 gan=0.3157 disc=0.1830 fm=0.2592 our=0.4289 d_pos=0.8013 d_neg=0.7537 delta_A=4.8476 dn=4.8476 grad_gen=1.7888 grad_our=0.3713
16:43:47 [ep35 iter5700] loss=0.6025 latent=1.4224 same=0.3650 diff=0.0000 dist=6.8975 sil=0.0092 smo=0.6724 sync=0.0003 pos=0.6574 neg=0.0532 gan=0.3693 disc=0.1872 fm=0.2401 our=0.2862 d_pos=0.7397 d_neg=0.9477 delta_A=4.7963 dn=4.7963 grad_gen=0.9842 grad_our=0.2294
16:51:17 [ep35 iter5800] loss=0.5756 latent=1.3033 same=0.3634 diff=0.0000 dist=2.8415 sil=0.0064 smo=0.5307 sync=0.0024 pos=0.8002 neg=0.3191 gan=0.3758 disc=0.1806 fm=0.2220 our=0.4076 d_pos=0.6109 d_neg=0.5928 delta_A=4.2912 dn=4.2912 grad_gen=1.8029 grad_our=0.3246
16:59:08 [ep35 iter5900] loss=0.6460 latent=1.5969 same=0.4813 diff=0.0000 dist=3.2695 sil=0.0062 smo=0.5978 sync=0.0000 pos=0.7793 neg=0.0125 gan=0.4299 disc=0.1711 fm=0.2708 our=0.2158 d_pos=0.5903 d_neg=0.8208 delta_A=3.8378 dn=3.8378 grad_gen=2.8427 grad_our=0.2488
17:06:33 [ep35 iter6000] loss=0.6490 latent=1.4865 same=0.4731 diff=0.0000 dist=3.4226 sil=0.0057 smo=0.5702 sync=0.0002 pos=0.7596 neg=0.1485 gan=0.4652 disc=0.1836 fm=0.2881 our=0.3379 d_pos=0.7623 d_neg=0.8489 delta_A=4.3779 dn=4.3779 grad_gen=3.5061 grad_our=0.1764
17:13:52 [ep35 iter6100] loss=0.6461 latent=1.5189 same=0.5103 diff=0.0000 dist=4.4009 sil=0.0067 smo=0.7555 sync=0.0001 pos=0.7087 neg=0.0330 gan=0.4431 disc=0.1759 fm=0.2904 our=0.2187 d_pos=0.5651 d_neg=0.8153 delta_A=4.6291 dn=4.6291 grad_gen=2.8636 grad_our=0.2248
17:22:53 [ep35 iter6200] loss=0.5930 latent=1.3852 same=0.3710 diff=0.0000 dist=5.7778 sil=0.0066 smo=0.8423 sync=0.0001 pos=0.8053 neg=0.1455 gan=0.2560 disc=0.2020 fm=0.2648 our=0.2540 d_pos=0.6726 d_neg=0.8858 delta_A=4.6904 dn=4.6904 grad_gen=3.0154 grad_our=0.1509
17:31:34 [ep35 iter6300] loss=0.6156 latent=1.4813 same=0.4490 diff=0.0000 dist=4.3686 sil=0.0056 smo=0.6443 sync=0.0000 pos=0.8038 neg=0.0059 gan=0.4307 disc=0.1708 fm=0.2631 our=0.2261 d_pos=0.5976 d_neg=0.8120 delta_A=4.5220 dn=4.5220 grad_gen=2.7417 grad_our=0.2071
17:40:35 [ep35 iter6400] loss=0.6910 latent=1.6351 same=0.5835 diff=0.0000 dist=4.1219 sil=0.0069 smo=0.7265 sync=0.0042 pos=0.6989 neg=0.1712 gan=0.3761 disc=0.1643 fm=0.3430 our=0.1982 d_pos=0.6109 d_neg=0.9154 delta_A=4.6622 dn=4.6622 grad_gen=2.3132 grad_our=0.1659
17:49:24 [ep35 iter6500] loss=0.6477 latent=1.6077 same=0.4871 diff=0.0000 dist=4.9910 sil=0.0074 smo=0.6964 sync=0.0033 pos=0.7763 neg=0.2889 gan=0.3483 disc=0.1639 fm=0.2990 our=0.1355 d_pos=0.5202 d_neg=1.0055 delta_A=4.6808 dn=4.6808 grad_gen=3.8029 grad_our=0.2581
