nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/batch2_alpha0.35_sync0.15_20260502_214513/best.pt
LatentSync loaded & frozen: /home/ihjung/MuseTalk/models/syncnet/latentsync_syncnet.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/syncnet_hdtf/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:417: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=15850
val videos=39 samples=1950
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:498: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] z_out_A= torch.Size([2, 16, 4, 12, 12]) z_out_scaled std= 4.169476509094238 z_gt std= 4.16947603225708 mel_pos= torch.Size([2, 80, 52])
[ep1 iter3600] loss=0.9380 latent=1.5347 same=0.6169 diff=0.0000 diff_dist=4.6374 silence=0.0087 smooth=0.8095 dA=4.5273 dN=4.7969 dZ=0.0087 mouth=0.0000 sync=0.2614 our=1.0633 d_pos=1.4575 d_neg=1.4658 pos=0.3309 neg=0.3923 dn=4.5273
[ep1 iter3700] loss=0.9183 latent=1.5297 same=0.6449 diff=0.0000 diff_dist=2.0234 silence=0.0053 smooth=0.7582 dA=4.1133 dN=4.0625 dZ=0.0053 mouth=0.0000 sync=0.1687 our=1.0290 d_pos=1.4345 d_neg=1.4263 pos=0.2060 neg=0.1627 dn=4.1133
[ep1 iter3800] loss=0.8269 latent=1.3894 same=0.6630 diff=0.0000 diff_dist=3.4543 silence=0.0048 smooth=0.6391 dA=4.2773 dN=4.2031 dZ=0.0048 mouth=0.0000 sync=0.0000 our=1.0146 d_pos=1.4244 d_neg=1.4405 pos=0.5330 neg=0.0810 dn=4.2773
[ep1 iter3900] loss=0.9753 latent=1.6471 same=0.6068 diff=0.0000 diff_dist=4.6100 silence=0.0059 smooth=0.9315 dA=4.4531 dN=4.5234 dZ=0.0059 mouth=0.0000 sync=0.0000 our=1.0572 d_pos=1.4540 d_neg=1.4512 pos=0.6088 neg=0.1825 dn=4.4531
[ep1 iter4000] loss=0.9628 latent=1.6028 same=0.6465 diff=0.0000 diff_dist=5.3103 silence=0.0108 smooth=0.8889 dA=5.1172 dN=5.1523 dZ=0.0108 mouth=0.0000 sync=0.0680 our=1.0521 d_pos=1.4506 d_neg=1.4474 pos=0.3711 neg=0.1957 dn=5.1172
[ep1 iter4100] loss=0.7213 latent=1.1639 same=0.4586 diff=0.0000 diff_dist=4.0013 silence=0.0051 smooth=0.7633 dA=4.5547 dN=4.7188 dZ=0.0051 mouth=0.0000 sync=0.0000 our=1.0059 d_pos=1.4181 d_neg=1.4159 pos=0.5827 neg=0.1006 dn=4.5547
[ep1 iter4200] loss=0.9112 latent=1.5022 same=0.6090 diff=0.0000 diff_dist=4.8183 silence=0.0078 smooth=0.8934 dA=4.6211 dN=4.6562 dZ=0.0078 mouth=0.0000 sync=0.1076 our=1.0236 d_pos=1.4308 d_neg=1.4343 pos=0.3736 neg=0.2812 dn=4.6211
[ep1 iter4300] loss=0.9338 latent=1.5671 same=0.6621 diff=0.0000 diff_dist=4.9832 silence=0.0085 smooth=0.9913 dA=4.2852 dN=4.5742 dZ=0.0085 mouth=0.0000 sync=0.0000 our=1.0146 d_pos=1.4245 d_neg=1.4272 pos=0.5681 neg=0.0891 dn=4.2852
[ep1 iter4400] loss=0.7812 latent=1.2703 same=0.4739 diff=0.0000 diff_dist=5.2183 silence=0.0114 smooth=0.8205 dA=4.7031 dN=5.2070 dZ=0.0114 mouth=0.0000 sync=0.0000 our=1.0513 d_pos=1.4500 d_neg=1.4487 pos=0.5339 neg=0.1451 dn=4.7031
[ep1 iter4500] loss=0.7697 latent=1.2563 same=0.5076 diff=0.0000 diff_dist=4.4522 silence=0.0065 smooth=0.6120 dA=5.0391 dN=4.8281 dZ=0.0065 mouth=0.0000 sync=0.0230 our=1.0598 d_pos=1.4558 d_neg=1.4514 pos=0.5905 neg=0.3896 dn=5.0391
[ep1 iter4600] loss=0.8062 latent=1.2830 same=0.4975 diff=0.0000 diff_dist=4.4033 silence=0.0048 smooth=0.9028 dA=5.1328 dN=4.9648 dZ=0.0048 mouth=0.0000 sync=0.1155 our=1.0257 d_pos=1.4322 d_neg=1.4028 pos=0.5635 neg=0.1637 dn=5.1328
[ep1 iter4700] loss=0.8935 latent=1.4685 same=0.5396 diff=0.0000 diff_dist=5.8249 silence=0.0079 smooth=1.0407 dA=4.8281 dN=5.4492 dZ=0.0079 mouth=0.0000 sync=0.0000 our=1.0582 d_pos=1.4548 d_neg=1.4645 pos=0.6231 neg=0.0329 dn=4.8281
[ep1 iter4800] loss=1.0124 latent=1.7359 same=0.8924 diff=0.0000 diff_dist=2.4681 silence=0.0081 smooth=0.7769 dA=4.3594 dN=4.3711 dZ=0.0081 mouth=0.0000 sync=0.0000 our=1.0690 d_pos=1.4622 d_neg=1.4661 pos=0.5356 neg=0.1033 dn=4.3594
[ep1 iter4900] loss=0.9237 latent=1.5271 same=0.5653 diff=0.0000 diff_dist=4.0509 silence=0.0114 smooth=0.9579 dA=5.1953 dN=5.4844 dZ=0.0114 mouth=0.0000 sync=0.0415 our=1.0184 d_pos=1.4270 d_neg=1.4180 pos=0.3928 neg=0.1329 dn=5.1953
[ep1 iter5000] loss=0.9715 latent=1.6534 same=0.6748 diff=0.0000 diff_dist=3.6613 silence=0.0062 smooth=0.6691 dA=4.1406 dN=4.5156 dZ=0.0062 mouth=0.0000 sync=0.1420 our=0.9697 d_pos=1.3926 d_neg=1.4000 pos=0.3833 neg=0.0800 dn=4.1406
[ep1 iter5100] loss=0.9254 latent=1.5222 same=0.7076 diff=0.0000 diff_dist=2.9041 silence=0.0090 smooth=0.8879 dA=4.6953 dN=4.3242 dZ=0.0090 mouth=0.0000 sync=0.1269 our=1.0884 d_pos=1.4753 d_neg=1.4536 pos=0.4331 neg=0.2347 dn=4.6953
[ep1 iter5200] loss=0.8006 latent=1.2888 same=0.5093 diff=0.0000 diff_dist=3.7724 silence=0.0074 smooth=0.7943 dA=4.9531 dN=4.7852 dZ=0.0074 mouth=0.0000 sync=0.0796 our=1.0712 d_pos=1.4636 d_neg=1.4694 pos=0.2896 neg=0.0839 dn=4.9531
[ep1 iter5300] loss=0.8742 latent=1.4722 same=0.5712 diff=0.0000 diff_dist=3.2288 silence=0.0059 smooth=0.7223 dA=4.2031 dN=4.3008 dZ=0.0059 mouth=0.0000 sync=0.0000 our=1.0826 d_pos=1.4714 d_neg=1.4556 pos=0.5083 neg=0.0473 dn=4.2031
[ep1 iter5400] loss=0.9546 latent=1.6263 same=0.6499 diff=0.0000 diff_dist=3.7172 silence=0.0088 smooth=0.8294 dA=4.3086 dN=4.6328 dZ=0.0088 mouth=0.0000 sync=0.0000 our=0.9887 d_pos=1.4062 d_neg=1.4198 pos=0.4854 neg=0.0613 dn=4.3086
[ep1 iter5500] loss=0.9190 latent=1.5470 same=0.6156 diff=0.0000 diff_dist=3.2403 silence=0.0056 smooth=0.7323 dA=4.3711 dN=4.2695 dZ=0.0056 mouth=0.0000 sync=0.0647 our=1.0678 d_pos=1.4613 d_neg=1.4567 pos=0.4123 neg=0.2442 dn=4.3711
[ep1 iter5600] loss=0.8199 latent=1.3650 same=0.6020 diff=0.0000 diff_dist=3.1923 silence=0.0062 smooth=0.7115 dA=4.2109 dN=4.0781 dZ=0.0062 mouth=0.0000 sync=0.0000 our=1.0619 d_pos=1.4573 d_neg=1.4331 pos=0.5766 neg=0.1674 dn=4.2109
[ep1 iter5700] loss=0.8814 latent=1.4460 same=0.7063 diff=0.0000 diff_dist=3.6631 silence=0.0050 smooth=0.9198 dA=4.6602 dN=4.7656 dZ=0.0050 mouth=0.0000 sync=0.0588 our=1.0677 d_pos=1.4613 d_neg=1.4671 pos=0.4191 neg=0.1903 dn=4.6602
[ep1 iter5800] loss=0.8769 latent=1.4419 same=0.5347 diff=0.0000 diff_dist=6.4292 silence=0.0160 smooth=1.0321 dA=4.6406 dN=5.6289 dZ=0.0160 mouth=0.0000 sync=0.0000 our=1.0159 d_pos=1.4254 d_neg=1.4354 pos=0.6054 neg=0.0590 dn=4.6406
[ep1 iter5900] loss=0.9694 latent=1.6494 same=0.7633 diff=0.0000 diff_dist=2.7321 silence=0.0048 smooth=0.8022 dA=4.2227 dN=4.2891 dZ=0.0048 mouth=0.0000 sync=0.0192 our=1.0407 d_pos=1.4427 d_neg=1.4466 pos=0.4230 neg=0.2123 dn=4.2227
[ep1 iter6000] loss=0.8154 latent=1.3297 same=0.5642 diff=0.0000 diff_dist=4.5043 silence=0.0056 smooth=0.8147 dA=4.8359 dN=4.7695 dZ=0.0056 mouth=0.0000 sync=0.0335 our=1.0256 d_pos=1.4322 d_neg=1.4306 pos=0.5468 neg=0.2876 dn=4.8359
[ep1 iter6100] loss=0.7970 latent=1.2876 same=0.4980 diff=0.0000 diff_dist=4.7231 silence=0.0070 smooth=0.9279 dA=4.7891 dN=5.1094 dZ=0.0070 mouth=0.0000 sync=0.0000 our=1.0741 d_pos=1.4655 d_neg=1.4590 pos=0.5720 neg=0.2499 dn=4.7891
[ep1 iter6200] loss=0.7703 latent=1.2797 same=0.5238 diff=0.0000 diff_dist=2.6202 silence=0.0038 smooth=0.6086 dA=4.0703 dN=4.1133 dZ=0.0038 mouth=0.0000 sync=0.0000 our=1.0852 d_pos=1.4732 d_neg=1.4731 pos=0.7828 neg=0.0139 dn=4.0703
[ep1 iter6300] loss=0.8744 latent=1.4576 same=0.5325 diff=0.0000 diff_dist=3.8436 silence=0.0102 smooth=0.9041 dA=4.6250 dN=4.7500 dZ=0.0102 mouth=0.0000 sync=0.0000 our=0.9895 d_pos=1.4068 d_neg=1.4094 pos=0.7034 neg=0.0830 dn=4.6250
[ep1 iter6400] loss=0.9703 latent=1.6349 same=0.5839 diff=0.0000 diff_dist=6.8158 silence=0.0069 smooth=0.9672 dA=4.7461 dN=5.5781 dZ=0.0069 mouth=0.0000 sync=0.0000 our=1.0158 d_pos=1.4253 d_neg=1.4261 pos=0.5974 neg=0.1646 dn=4.7461
[ep1 iter6500] loss=0.9002 latent=1.5234 same=0.6193 diff=0.0000 diff_dist=3.1734 silence=0.0109 smooth=0.7143 dA=4.3164 dN=4.2852 dZ=0.0109 mouth=0.0000 sync=0.0121 our=1.0353 d_pos=1.4389 d_neg=1.4334 pos=0.4508 neg=0.1131 dn=4.3164
[ep1 iter6600] loss=0.9533 latent=1.6226 same=0.6563 diff=0.0000 diff_dist=5.2233 silence=0.0085 smooth=0.7614 dA=4.6562 dN=4.3164 dZ=0.0085 mouth=0.0000 sync=0.0000 our=1.0032 d_pos=1.4165 d_neg=1.4209 pos=0.6308 neg=0.0401 dn=4.6562
[ep1 iter6700] loss=0.8772 latent=1.4421 same=0.5789 diff=0.0000 diff_dist=4.3834 silence=0.0049 smooth=0.8499 dA=4.9922 dN=4.7305 dZ=0.0049 mouth=0.0000 sync=0.0539 our=1.0626 d_pos=1.4577 d_neg=1.4518 pos=0.2566 neg=0.0604 dn=4.9922
[ep1 iter6800] loss=0.8530 latent=1.4112 same=0.5869 diff=0.0000 diff_dist=3.7905 silence=0.0078 smooth=0.8048 dA=4.6289 dN=4.9336 dZ=0.0078 mouth=0.0000 sync=0.0400 our=1.0219 d_pos=1.4293 d_neg=1.4244 pos=0.4633 neg=0.1132 dn=4.6289
[ep1 iter6900] loss=0.7897 latent=1.2982 same=0.4522 diff=0.0000 diff_dist=6.0899 silence=0.0048 smooth=0.7699 dA=4.6211 dN=5.6641 dZ=0.0048 mouth=0.0000 sync=0.0000 our=1.0099 d_pos=1.4209 d_neg=1.4516 pos=0.5819 neg=0.0964 dn=4.6211
