nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/no_lambdamouthL/best.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/expN11/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:416: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=31700
val videos=39 samples=3900
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:497: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] pred_A_imgs= torch.Size([2, 16, 3, 96, 96]) mel_pos= torch.Size([2, 1, 80, 52]) mel_neg= torch.Size([2, 1, 80, 52])
[ep1 iter5900] loss=0.4455 latent=1.3040 same=0.7056 diff=0.0000 diff_dist=2.4172 silence=0.0072 smooth=0.5173 dA=3.4551 dN=3.4648 dZ=0.0072 mouth=0.0000 sync=0.0000 our=0.9190 d_pos=1.3553 d_neg=1.3546 pos=0.0000 neg=0.0000 dn=3.4551
[ep1 iter6000] loss=0.5384 latent=1.8027 same=0.9317 diff=0.0000 diff_dist=1.6519 silence=0.0090 smooth=0.5138 dA=3.0703 dN=3.0684 dZ=0.0090 mouth=0.0000 sync=0.0000 our=0.8809 d_pos=1.3273 d_neg=1.3272 pos=0.0000 neg=0.0000 dn=3.0703
[ep1 iter6100] loss=0.4709 latent=1.4777 same=0.6311 diff=0.0000 diff_dist=2.1103 silence=0.0072 smooth=0.5053 dA=3.3125 dN=3.3066 dZ=0.0072 mouth=0.0000 sync=0.0000 our=0.8684 d_pos=1.3179 d_neg=1.3174 pos=0.0000 neg=0.0000 dn=3.3125
[ep1 iter6200] loss=0.4675 latent=1.4302 same=0.6103 diff=0.0000 diff_dist=2.9606 silence=0.0077 smooth=0.5814 dA=3.5547 dN=3.4531 dZ=0.0077 mouth=0.0000 sync=0.0000 our=0.8782 d_pos=1.3252 d_neg=1.3262 pos=0.0000 neg=0.0000 dn=3.5547
[ep1 iter6300] loss=0.4953 latent=1.5188 same=0.6661 diff=0.0000 diff_dist=2.9575 silence=0.0075 smooth=0.6518 dA=3.7285 dN=3.7715 dZ=0.0075 mouth=0.0000 sync=0.0000 our=0.9110 d_pos=1.3494 d_neg=1.3488 pos=0.0000 neg=0.0000 dn=3.7285
[ep1 iter6400] loss=0.4627 latent=1.3343 same=0.5449 diff=0.0000 diff_dist=3.3360 silence=0.0072 smooth=0.8852 dA=3.4082 dN=3.8340 dZ=0.0072 mouth=0.0000 sync=0.0000 our=0.8762 d_pos=1.3237 d_neg=1.3236 pos=0.0000 neg=0.0000 dn=3.4082
[ep1 iter6500] loss=0.4430 latent=1.3132 same=0.5951 diff=0.0000 diff_dist=2.1524 silence=0.0064 smooth=0.5365 dA=3.2910 dN=3.1875 dZ=0.0064 mouth=0.0000 sync=0.0000 our=0.8921 d_pos=1.3355 d_neg=1.3359 pos=0.0000 neg=0.0000 dn=3.2910
[ep1 iter6600] loss=0.4969 latent=1.5427 same=0.7297 diff=0.0000 diff_dist=2.4118 silence=0.0073 smooth=0.6315 dA=3.5293 dN=3.3652 dZ=0.0073 mouth=0.0000 sync=0.0000 our=0.9023 d_pos=1.3430 d_neg=1.3426 pos=0.0000 neg=0.0000 dn=3.5293
[ep1 iter6700] loss=0.5344 latent=1.7624 same=0.7739 diff=0.0000 diff_dist=2.4249 silence=0.0074 smooth=0.6346 dA=3.0605 dN=3.0938 dZ=0.0074 mouth=0.0000 sync=0.0000 our=0.8716 d_pos=1.3203 d_neg=1.3201 pos=0.0000 neg=0.0000 dn=3.0605
[ep1 iter6800] loss=0.4699 latent=1.4765 same=0.6501 diff=0.0000 diff_dist=1.6757 silence=0.0070 smooth=0.4885 dA=3.1953 dN=3.1562 dZ=0.0070 mouth=0.0000 sync=0.0000 our=0.8728 d_pos=1.3211 d_neg=1.3208 pos=0.0000 neg=0.0000 dn=3.1953
[ep1 iter6900] loss=0.4954 latent=1.5618 same=0.7295 diff=0.0000 diff_dist=2.4519 silence=0.0081 smooth=0.5033 dA=3.1348 dN=3.2656 dZ=0.0081 mouth=0.0000 sync=0.0000 our=0.9227 d_pos=1.3580 d_neg=1.3582 pos=0.0000 neg=0.0000 dn=3.1348
[ep1 iter7000] loss=0.5282 latent=1.7387 same=0.7412 diff=0.0000 diff_dist=4.2229 silence=0.0090 smooth=0.5443 dA=3.4629 dN=3.7617 dZ=0.0090 mouth=0.0000 sync=0.0000 our=0.8789 d_pos=1.3257 d_neg=1.3256 pos=0.0000 neg=0.0000 dn=3.4629
[ep1 iter7100] loss=0.4961 latent=1.5053 same=0.7009 diff=0.0000 diff_dist=3.3631 silence=0.0079 smooth=0.6944 dA=3.5684 dN=3.4434 dZ=0.0079 mouth=0.0000 sync=0.0000 our=0.9259 d_pos=1.3605 d_neg=1.3585 pos=0.0000 neg=0.0000 dn=3.5684
